TLD;Nombre clés;Distance TLD;Distance aléa.;Différence
.de;10195;5.247043;5.966777;0.719734
.net;4430;5.955349;5.895636;-0.059713
.uk;902;5.874658;5.885630;0.010972
.com;8793;6.435397;5.964490;-0.470907
.nl;807;4.832648;5.803330;0.970682
.edu;1855;6.211485;5.915838;-0.295647
.se;616;5.126112;5.951894;0.825782
.pl;196;5.430810;6.089103;0.658293
.no;266;5.907768;5.801345;-0.106422
.org;4633;5.228405;5.960977;0.732572
.at;1126;6.549152;6.009203;-0.539949
.ch;938;4.812058;5.979436;1.167379
.cz;186;5.407966;5.947624;0.539658
.bg;39;5.018409;5.935569;0.917160
.dk;207;4.844570;6.057108;1.212537
.mil;59;6.289572;5.888251;-0.401321
.ca;403;5.612700;5.792844;0.180144
.il;48;4.432292;6.670139;2.237847
.fr;603;5.251495;5.920090;0.668595
.to;16;4.339844;6.246094;1.906250
.es;213;4.822213;5.884172;1.061959
.nu;55;4.975207;5.650248;0.675041
.us;78;5.574129;5.989809;0.415680
.li;48;4.193576;5.577257;1.383681
.be;181;5.078203;5.999817;0.921614
.fi;245;5.428255;6.007280;0.579025
.hu;102;5.557478;5.784218;0.226740
.br;181;6.489210;6.159641;-0.329569
.au;431;4.849732;5.807026;0.957295
.gr;61;4.504434;5.700349;1.195915
.jp;149;5.757038;5.895996;0.138958
.ws;22;5.595041;5.528926;-0.066116
.name;110;4.895455;6.241157;1.345702
.info;164;5.354030;5.617787;0.263757
.cc;49;5.463140;5.857976;0.394835
.ie;51;4.712034;6.086121;1.374087
.gov;151;6.435770;5.676988;-0.758783
.it;494;5.032766;6.019612;0.986846
.fm;15;5.475556;5.942222;0.466667
.za;20;6.152500;5.735000;-0.417500
.ar;59;5.151393;6.166619;1.015226
.st;9;4.604938;5.358025;0.753086
.tw;28;4.656888;6.059949;1.403061
.nz;172;4.831362;6.060675;1.229313
.co;10;2.760000;4.890000;2.130000
.ru;77;6.546298;5.444594;-1.101703
.ms;5;3.000000;6.880000;3.880000
.eu;93;4.972598;6.051914;1.079316
.lt;26;3.880178;5.107988;1.227811
.mx;20;3.200000;6.477500;3.277500
.cx;60;4.619722;6.052222;1.432500
.sg;15;6.142222;5.106667;-1.035556
.cl;49;4.020825;5.748855;1.728030
