TLD;Nombre;Dist. graph. TLD;Dist. graph. rand;Diff. graph.
.br;182;2695093.651967;2715819.790229;20726.138262
.com;8869;2733828.170516;2733933.050529;104.880013
.de;10293;2734129.696247;2734177.930927;48.234679
.org;4633;2733977.717087;2733715.849931;-261.867157
.edu;1825;2731891.350734;2732554.094312;662.743579
.uk;903;2732030.791044;2732709.621568;678.830524
.net;4456;2733992.641092;2732461.801724;-1530.839368
.es;226;2726391.307467;2725909.281392;-482.026075
.fr;609;2729937.588843;2724927.897378;-5009.691465
.nl;831;2728158.928604;2732165.022434;4006.093830
.ch;984;2731321.516533;2732120.941978;799.425445
.lv;18;2629599.729042;2298818.762296;-330780.966746
.at;1163;2731582.253503;2732115.958488;533.704984
.by;4;2339708.818074;2154866.201392;-184842.616682
.il;48;2712402.947470;2702129.847129;-10273.100341
.gov;155;2709476.691159;2717992.148792;8515.457633
.au;427;2731317.671051;2722117.294296;-9200.376755
.be;186;2730342.275110;2727246.037406;-3096.237704
.se;617;2730642.992385;2731590.759039;947.766655
.info;158;2722016.231088;2711691.334743;-10324.896344
.pl;199;2701674.611850;2719000.794424;17326.182575
.name;111;2709557.502597;2721646.929417;12089.426820
.mil;58;2624351.626181;2672674.391637;48322.765456
.ca;399;2731345.247024;2725666.015186;-5679.231837
.it;480;2730961.945102;2724485.792345;-6476.152756
.no;266;2728807.302787;2717153.803587;-11653.499200
.ve;16;2656059.301991;2613053.423280;-43005.878711
.biz;34;2623810.848750;2702154.854278;78344.005528
.bg;39;2609028.019112;2587937.206578;-21090.812533
.nz;172;2714471.658352;2726946.900561;12475.242209
.su;9;2561679.069696;2599677.744788;37998.675093
.us;79;2682433.685950;2713789.859772;31356.173822
.ag;17;2573299.090077;2447696.230553;-125602.859524
.is;13;2661370.580788;2420587.063466;-240783.517321
.jp;145;2726965.567007;2715782.797165;-11182.769843
.cx;61;2693122.809399;2683110.290740;-10012.518659
.fi;248;2721836.257568;2722882.247815;1045.990247
.gr;59;2695408.599987;2705460.704631;10052.104643
.cz;192;2718595.437915;2695349.156512;-23246.281402
.ph;19;2641292.303969;2662354.647520;21062.343551
.eu;97;2697815.814930;2694774.577530;-3041.237400
.nu/CA/;1;0.000000;0.000000;0.000000
.lt;26;2634060.166284;2522152.113460;-111908.052824
.hu;103;2674100.096610;2697567.239409;23467.142799
.co;11;2561916.110395;2412365.614851;-149550.495544
.dk;202;2725406.693791;2723440.845521;-1965.848270
.ar;59;2690992.924995;2683882.886890;-7110.038105
.17;1;0.000000;0.000000;0.000000
.si;10;2208191.330856;2051080.426684;-157110.904172
.lu;28;2658717.407330;2693899.023851;35181.616520
.cc;54;2711953.537288;2645641.015326;-66312.521962
.sg;15;2649566.268174;2336770.872523;-312795.395651
.li;52;2663439.484475;2694137.930846;30698.446371
.ru;75;2715675.548525;2717471.600472;1796.051947
.sv;4;2378828.700115;2547815.584981;168986.884865
.ws;23;2451678.061229;2697995.144049;246317.082819
.tk;11;2335090.659166;2500326.787890;165236.128724
.uy;13;2579549.556332;2581768.691903;2219.135571
.mx;18;2596093.705016;2567767.605749;-28326.099268
.pt;34;2674641.552846;2586180.318696;-88461.234150
.ie;54;2719083.826405;2697081.308993;-22002.517412
.tw;28;2469309.405658;2628594.368656;159284.962998
.tv;13;2551399.571375;2658891.616581;107492.045205
.14;1;0.000000;0.000000;0.000000
.tr;18;2422097.094708;2670213.365869;248116.271161
.hr;41;2692623.991382;2702601.417241;9977.425858
.fm;16;2578321.546827;2638623.217156;60301.670328
.de ;2;86970.846058;639213.135485;552242.289427
.nu;57;2672927.687521;2671022.354921;-1905.332600
.cl;51;2685184.329081;2721458.757083;36274.428002
.za;20;2614184.724416;2657895.606784;43710.882367
.id;7;2416217.913771;2313108.642315;-103109.271457
.ro;22;2639805.707622;2698754.308622;58948.601000
.bc,ca;1;0.000000;0.000000;0.000000
.am;8;2324715.700483;2603647.639101;278931.938618
.st;8;2633487.297587;2497861.631819;-135625.665768
.cat;5;2367994.524600;1730288.796194;-637705.728406
.ai;3;1954852.111411;2075755.703064;120903.591654
.ee;5;2529645.477095;2420775.668857;-108869.808238
.me;3;2219756.885509;2451154.703485;231397.817975
.bz;4;2519862.144884;1660575.262280;-859286.882604
.ZER;1;0.000000;0.000000;0.000000
.3;1;0.000000;0.000000;0.000000
.de/;2;1720492.715139;1639460.137016;-81032.578124
.aero;2;1207681.892526;1022577.636149;-185104.256377
.sk;17;2643038.352739;2392846.793244;-250191.559495
